model_name,context_window_operation,context_window_size,similarity_measure,score,time,time_per
TurkuNLP/bert-large-finnish-cased-v1,sum,1,cosine,0.6790942533365688,14.909091792003892,0.6212121580001622
TurkuNLP/bert-base-finnish-cased-v1,sum,1,cosine,0.6151939492282483,6.866114541997376,0.28608810591655737
TurkuNLP/bert-large-finnish-cased-v1,sum,2,cosine,0.5511127514786348,15.07375475000299,0.6280731145834579
TurkuNLP/bert-base-finnish-cased-v1,sum,2,cosine,0.5310465481171347,7.402789583997219,0.3084495659998841
bert-base-multilingual-cased,sum,2,cosine,0.511216213430344,9.065334500002791,0.3777222708334496
EMBEDDIA/crosloengual-bert,sum,50,cosine,0.490764244484881,8.669279499998083,0.3612199791665868
TurkuNLP/bert-base-finnish-uncased-v1,sum,1,cosine,0.4825398567179867,6.582805625002948,0.27428356770845613
bert-base-multilingual-cased,sum,1,cosine,0.4616590196690178,8.803205417003483,0.3668002257084784
EMBEDDIA/crosloengual-bert,sum,20,cosine,0.46138342898853835,8.661925334003172,0.3609135555834655
TurkuNLP/bert-base-finnish-uncased-v1,sum,2,cosine,0.4522743457554914,7.018183416003012,0.2924243090001255
bert-base-multilingual-cased,sum,5,cosine,0.4424039365703838,8.520345874996565,0.3550144114581902
bert-base-multilingual-uncased,sum,2,cosine,0.4234071763398266,7.930239250003069,0.33042663541679457
bert-base-multilingual-cased,sum,10,cosine,0.42126976022035145,8.939965959005349,0.37249858162522287
TurkuNLP/bert-base-finnish-cased-v1,sum,5,cosine,0.4212108317615644,6.969439957996656,0.29039333158319397
TurkuNLP/bert-large-finnish-cased-v1,none,0,cosine,0.4056990277896749,15.034005957997579,0.6264169149165658
EMBEDDIA/crosloengual-bert,sum,10,cosine,0.36634524854089534,9.109824666003988,0.37957602775016613
bert-base-multilingual-cased,none,0,cosine,0.34238204065036537,8.996827834002033,0.37486782641675137
TurkuNLP/bert-large-finnish-cased-v1,sum,20,cosine,0.32808003520904827,14.886815833000583,0.6202839930416909
TurkuNLP/bert-base-finnish-cased-v1,sum,20,cosine,0.3265894581154902,7.733195624998189,0.3222164843749245
bert-base-multilingual-cased,sum,50,cosine,0.32530296453612895,9.075701499998104,0.37815422916658764
bert-base-multilingual-cased,sum,20,cosine,0.3222453747672145,8.727700875002483,0.3636542031251035
TurkuNLP/bert-base-finnish-cased-v1,sum,10,cosine,0.3121776166096346,6.448535999996238,0.26868899999984325
TurkuNLP/bert-base-finnish-uncased-v1,sum,20,cosine,0.30009500835964087,7.283849249994091,0.3034937187497538
TurkuNLP/bert-base-finnish-uncased-v1,sum,5,cosine,0.2998653655996204,6.526116499997443,0.2719215208332268
bert-base-multilingual-uncased,sum,1,cosine,0.2970038560941074,8.167705250001745,0.3403210520834061
TurkuNLP/bert-large-finnish-cased-v1,sum,5,cosine,0.29649324367828933,16.417413833005412,0.6840589097085589
bert-base-multilingual-uncased,sum,20,cosine,0.28297639378018413,8.711460083999555,0.3629775034999814
TurkuNLP/bert-base-finnish-uncased-v1,sum,10,cosine,0.2822502320064242,6.745317583998258,0.2810548993332607
bert-base-multilingual-cased,sum,100,cosine,0.2775429334801407,8.289985041999898,0.34541604341666243
EMBEDDIA/crosloengual-bert,sum,100,cosine,0.2771499464851699,9.279742792001343,0.3866559496667226
EMBEDDIA/crosloengual-bert,sum,5,cosine,0.2674511476771153,9.642954375005502,0.4017897656252292
bert-base-multilingual-uncased,sum,5,cosine,0.25055779506583065,8.114160125005583,0.33809000520856597
bert-base-multilingual-uncased,sum,50,cosine,0.2467331929530463,8.032847458001925,0.33470197741674684
bert-base-multilingual-uncased,sum,10,cosine,0.2295967448097851,8.402287333003187,0.35009530554179946
bert-base-multilingual-uncased,sum,100,cosine,0.21630447038186507,7.763913290997152,0.3234963871248813
TurkuNLP/bert-large-finnish-cased-v1,sum,10,cosine,0.2153427526830609,15.032508915996004,0.6263545381665002
EMBEDDIA/crosloengual-bert,none,0,cosine,0.12858793059379037,8.470055833000515,0.3529189930416881
EMBEDDIA/crosloengual-bert,sum,2,cosine,0.1260358463489727,9.578243416995974,0.3990934757081656
EMBEDDIA/crosloengual-bert,sum,1,cosine,0.07886404250960732,8.574105459003476,0.35725439412514487
TurkuNLP/bert-base-finnish-uncased-v1,sum,50,cosine,0.07701911374795034,7.138645207996888,0.29744355033320363
TurkuNLP/bert-large-finnish-cased-v1,sum,50,cosine,0.06493969394282895,14.853214417002164,0.6188839340417568
TurkuNLP/bert-base-finnish-cased-v1,none,0,cosine,0.06139238813111325,6.7406447080065846,0.280860196166941
bert-base-multilingual-uncased,none,0,cosine,0.05966472198210149,9.079311833003885,0.3783046597084952
TurkuNLP/bert-base-finnish-cased-v1,sum,50,cosine,0.04187408562858963,7.5801106250000885,0.31583794270833704
TurkuNLP/bert-base-finnish-cased-v1,sum,100,cosine,0.029168292411825503,6.365811083000153,0.2652421284583397
TurkuNLP/bert-base-finnish-uncased-v1,sum,100,cosine,0.029168292411825503,6.739660040999297,0.28081916837497073
TurkuNLP/bert-large-finnish-cased-v1,sum,100,cosine,0.029168292411825503,16.175011250001262,0.6739588020833859
TurkuNLP/bert-base-finnish-uncased-v1,none,0,cosine,-0.1028225462893535,6.602667207997001,0.2751111336665417
