score,time,context_window_name,context_window_size,similarity_measure_name,static_embedding_name,model_name
0.4844769049567301,1.942139209000743,mean,50,cosine,bert,bert-base-multilingual-cased
0.4844767849918683,1.874308041005861,additive,50,cosine,bert,bert-base-multilingual-cased
0.4767933878081878,1.89879804100201,mean,20,cosine,bert,bert-base-multilingual-cased
0.4767933649335321,1.8770167919938103,additive,20,cosine,bert,bert-base-multilingual-cased
0.3926896484976523,2.4653219579995493,additive,50,cosine,bert,bert-large-cased-whole-word-masking
0.3926896365321173,2.8043912920038565,mean,50,cosine,bert,bert-large-cased-whole-word-masking
0.38710469335281905,1.8898229170008563,mean,10,cosine,bert,bert-base-multilingual-cased
0.38710462059566964,1.9498796250045416,additive,10,cosine,bert,bert-base-multilingual-cased
0.3694084641534656,1.1895890829982818,mean,50,cosine,bert,bert-base-cased
0.36940844561529906,1.2000109159998829,additive,50,cosine,bert,bert-base-cased
0.36681300440834685,2.0679407909992733,mean,50,cosine,bert,bert-large-cased
0.36681264366645194,1.9398341250052908,additive,50,cosine,bert,bert-large-cased
0.3570197540954896,1.2089282919987454,additive,5,cosine,bert,bert-base-cased
0.3570196798137599,1.1938759580007172,mean,5,cosine,bert,bert-base-cased
0.3518756599739563,2.4251718330051517,additive,5,cosine,bert,bert-large-cased-whole-word-masking
0.3518756215890658,2.9380507079986273,mean,5,cosine,bert,bert-large-cased-whole-word-masking
0.3345787149062419,2.429267500003334,additive,5,cosine,bert,bert-large-cased
0.33457848986947847,2.077573124995979,mean,5,cosine,bert,bert-large-cased
0.3118389235344734,2.5062720839996473,additive,20,cosine,bert,bert-large-cased-whole-word-masking
0.3118389034680531,2.5539580000040587,mean,20,cosine,bert,bert-large-cased-whole-word-masking
0.29996482291059523,2.4427366249947227,additive,10,cosine,bert,bert-large-cased-whole-word-masking
0.2999648035148106,2.526027541003714,mean,10,cosine,bert,bert-large-cased-whole-word-masking
0.2994958885963279,1.1741931659998954,additive,2,cosine,bert,bert-base-cased
0.2994958773314642,1.1634992089966545,mean,2,cosine,bert,bert-base-cased
0.2964993051327405,1.881490166997537,multiplicative,10,cosine,bert,bert-base-multilingual-cased
0.28863197365085713,1.3776882079982897,mean,20,cosine,bert,bert-base-cased
0.2886317079978138,1.1817659580046893,additive,20,cosine,bert,bert-base-cased
0.28849104765697575,2.0202417909968062,mean,20,cosine,bert,bert-large-cased
0.28849082433491624,1.966676166994148,additive,20,cosine,bert,bert-large-cased
0.28392066352141343,1.9503761660016607,additive,2,cosine,bert,bert-large-cased
0.28392066317982567,2.102811250006198,mean,2,cosine,bert,bert-large-cased
0.28236216050438734,2.422946792001312,additive,2,cosine,bert,bert-large-cased-whole-word-masking
0.28236214481973887,2.48358495800494,mean,2,cosine,bert,bert-large-cased-whole-word-masking
0.2807918973587945,1.1669427500019083,mean,10,cosine,bert,bert-base-cased
0.28079184485413433,1.1830301669979235,additive,10,cosine,bert,bert-base-cased
0.27270088183810604,2.018244250000862,additive,10,cosine,bert,bert-large-cased
