score,time,context_window_name,context_window_size,similarity_measure_name,static_embedding_name,model_name
0.2985908167181942,1.8540359170001466,additive,10,cosine,bert,bert-base-multilingual-cased
0.29859078978215825,1.8406334579995018,mean,10,cosine,bert,bert-base-multilingual-cased
0.27188356674366854,1.8348520420040586,additive,5,cosine,bert,bert-base-multilingual-cased
0.2718835404569002,1.8096287910011597,mean,5,cosine,bert,bert-base-multilingual-cased
0.26744027654217206,1.817845584002498,mean,20,cosine,bert,bert-base-multilingual-cased
0.267440227627741,2.0068990829968243,additive,20,cosine,bert,bert-base-multilingual-cased
0.21815141445560837,1.8950807499932125,additive,0,cosine,bert,bert-base-multilingual-cased
0.21815141445560837,2.050228167005116,mean,0,cosine,bert,bert-base-multilingual-cased
0.21815141445560837,1.7900662909960374,multiplicative,0,cosine,bert,bert-base-multilingual-cased
0.20787035055923153,1.8856985000020359,additive,2,cosine,bert,bert-base-multilingual-cased
0.20787034485747813,1.8417146249994403,mean,2,cosine,bert,bert-base-multilingual-cased
0.19957646138508034,1.887197666001157,mean,20,cosine,bert,bert-large-cased
0.1995763305045093,2.059979582998494,additive,20,cosine,bert,bert-large-cased
0.1879726123163249,1.9407596250021015,mean,10,cosine,bert,bert-large-cased
0.18797259195300553,1.9963569169995026,additive,10,cosine,bert,bert-large-cased
0.18673727045215882,2.502683957995032,additive,20,cosine,bert,bert-large-cased-whole-word-masking
0.18673719101643182,2.3397820000027423,mean,20,cosine,bert,bert-large-cased-whole-word-masking
0.18666436679386977,1.1897240420003072,additive,20,cosine,bert,bert-base-cased
0.1866643184192499,1.1114661669998895,mean,20,cosine,bert,bert-base-cased
0.17625049137742488,1.8638984999997774,multiplicative,10,cosine,bert,bert-base-multilingual-cased
0.17357140490729672,2.3824085000014747,mean,10,cosine,bert,bert-large-cased-whole-word-masking
0.17357138373446346,2.5872264170029666,additive,10,cosine,bert,bert-large-cased-whole-word-masking
0.17172211769575196,1.9557894579993444,multiplicative,10,cosine,bert,bert-large-cased
0.16872308267785074,1.127860166998289,additive,10,cosine,bert,bert-base-cased
0.16872305533842835,1.131751290995453,mean,10,cosine,bert,bert-base-cased
0.14906364538513162,1.8504426670042449,additive,1,cosine,bert,bert-base-multilingual-cased
0.14906362074584179,1.812419374997262,mean,1,cosine,bert,bert-base-multilingual-cased
0.10431273211632441,1.9087557919992832,additive,0,cosine,bert,bert-large-cased
0.10431273211632441,1.9175047080061631,mean,0,cosine,bert,bert-large-cased
0.10431273211632441,1.9083414999986417,multiplicative,0,cosine,bert,bert-large-cased
0.10206435103603273,1.1530160420006723,multiplicative,5,cosine,bert,bert-base-cased
0.09754063242637867,1.811628292001842,multiplicative,1,cosine,bert,bert-base-multilingual-cased
0.09214819283348341,2.775736458002939,additive,5,cosine,bert,bert-large-cased-whole-word-masking
0.09214816345223065,2.3388694579989533,mean,5,cosine,bert,bert-large-cased-whole-word-masking
0.09212666732313801,1.858253499995044,mean,5,cosine,bert,bert-large-cased
0.09212654632823658,2.171917833002226,additive,5,cosine,bert,bert-large-cased
0.07231930475504145,1.133589375000156,additive,5,cosine,bert,bert-base-cased
0.07231928416395328,1.1574389170054928,mean,5,cosine,bert,bert-base-cased
0.07146658787242222,1.2766433750002761,additive,0,cosine,bert,bert-base-cased
0.07146658787242222,1.3238167499948759,mean,0,cosine,bert,bert-base-cased
0.07146658787242222,1.1475396669993643,multiplicative,0,cosine,bert,bert-base-cased
0.05503961256608325,1.8642971249937546,multiplicative,2,cosine,bert,bert-base-multilingual-cased
0.051368591875239566,1.2829900840006303,multiplicative,2,cosine,bert,bert-base-cased
0.04667130053421409,1.858781041999464,mean,50,cosine,bert,bert-base-multilingual-cased
0.04667077367569061,2.0319363749949844,additive,50,cosine,bert,bert-base-multilingual-cased
0.03842789086141485,2.4015192499937257,mean,50,cosine,bert,bert-large-cased-whole-word-masking
0.03842787711588502,2.6233347919987864,additive,50,cosine,bert,bert-large-cased-whole-word-masking
0.03454791502767085,2.573198375001084,additive,0,cosine,bert,bert-large-cased-whole-word-masking
0.03454791502767085,2.5118293749983422,mean,0,cosine,bert,bert-large-cased-whole-word-masking
0.03454791502767085,2.594936790999782,multiplicative,0,cosine,bert,bert-large-cased-whole-word-masking
0.029586768514395123,1.9313478749973,mean,50,cosine,bert,bert-large-cased
0.02958619371571236,2.2894197080022423,additive,50,cosine,bert,bert-large-cased
0.021804224841905695,1.9385890839985223,multiplicative,10,cosine,bert,bert-base-cased
0.018815277279744413,1.1464916670011007,additive,50,cosine,bert,bert-base-cased
0.01881519917157659,1.1307998330012197,mean,50,cosine,bert,bert-base-cased
-0.028716002778618632,1.999240874996758,multiplicative,5,cosine,bert,bert-base-multilingual-cased
-0.037063939717617345,2.669836499997473,multiplicative,5,cosine,bert,bert-large-cased-whole-word-masking
-0.04096975233416189,1.1219939580041682,mean,2,cosine,bert,bert-base-cased
-0.04096979535576062,1.125127084000269,additive,2,cosine,bert,bert-base-cased
-0.05181549419130116,2.7257255840013386,additive,2,cosine,bert,bert-large-cased-whole-word-masking
-0.05181550906429,2.3481994579997263,mean,2,cosine,bert,bert-large-cased-whole-word-masking
-0.055614163301179076,2.456959959003143,multiplicative,2,cosine,bert,bert-large-cased-whole-word-masking
-0.0557767674464591,1.8784890000024461,mean,2,cosine,bert,bert-large-cased
-0.05577687304294643,2.0759972920059226,additive,2,cosine,bert,bert-large-cased
-0.060056660307843845,1.9526341250020778,multiplicative,2,cosine,bert,bert-large-cased
-0.06669135772612744,2.0367760000008275,additive,1,cosine,bert,bert-large-cased
