score,time,context_window_name,context_window_size,similarity_measure_name,static_embedding_name,model_name
-0.4040641420818136,0.8562010419991566,additive,1,cosine,bert,bert-base-cased
-0.43633602170256847,1.6302486670028884,multiplicative,2,cosine,bert,bert-large-cased
,0.8406262909993529,multiplicative,20,cosine,bert,bert-base-cased
,1.5879098750010598,multiplicative,20,cosine,bert,bert-base-multilingual-cased
,1.9362233330029994,multiplicative,20,cosine,bert,bert-large-cased
,2.1379767499965965,multiplicative,20,cosine,bert,bert-large-cased-whole-word-masking
,1.0294355829973938,multiplicative,50,cosine,bert,bert-base-cased
,1.6372722079977393,multiplicative,50,cosine,bert,bert-base-multilingual-cased
,1.630825416999869,multiplicative,50,cosine,bert,bert-large-cased
,2.4962978339972324,multiplicative,50,cosine,bert,bert-large-cased-whole-word-masking
